competitionId,teamId,teamMarket,teamName,orbPct,drbPct,astPct,pace,ortg,drtg,ftaRate,tovPct,tovPctAgst,stlPct,blkPct
33533,103268,Alabama,Crimson Tide,0.34205,0.72099,0.54252,71.217,112.59294,93.95764,0.36646,0.16004,0.13718,0.08345,0.11304
38409,104312,Tennessee,Volunteers,0.35557,0.69742,0.606,63.222,117.09021,99.77435,0.35547,0.13836,0.15216,0.10907,0.15109
38409,103308,Auburn,Tigers,0.3417,0.70325,0.54928,67.529,122.46876,102.46514,0.33916,0.1176,0.1515,0.10128,0.15797
41097,103308,Auburn,Tigers,0.37043,0.69141,0.47624,67.359,122.01599,115.78753,0.43214,0.12434,0.1429,0.10951,0.11573
27043,103614,Florida,Gators,0.35405,0.71648,0.53862,61.744,112.88479,93.26345,0.42364,0.15016,0.18749,0.11337,0.08576
27249,103765,Kentucky,Wildcats,0.37869,0.68702,0.48449,65.013,119.01512,93.17403,0.41726,0.14549,0.14959,0.09338,0.20355
38409,103614,Florida,Gators,0.38526,0.7096,0.52369,69.112,122.6638,100.70658,0.34861,0.13297,0.14389,0.10677,0.11684
27043,103765,Kentucky,Wildcats,0.41959,0.70292,0.44422,64.622,114.67461,102.14166,0.51762,0.15035,0.13956,0.07247,0.14918
30629,104320,Texas A&M,Aggies,0.34302,0.66928,0.52321,67.244,106.77949,97.0489,0.35332,0.16263,0.2092,0.14587,0.09877
27693,103454,Chicago St.,Cougars,0.16564,0.62069,0.49444,69.982,79.22688,126.69951,0.25352,0.20218,0.14006,0.07797,0.03683
27693,104381,UTRGV,Vaqueros,0.32614,0.68258,0.60714,73.315,98.78104,92.39186,0.40206,0.17021,0.21863,0.12125,0.11219
27693,104309,Tarleton St.,Texans,0.27217,0.70167,0.55472,67.515,108.64325,92.27641,0.36492,0.14988,0.25033,0.15479,0.1
27693,103985,New Mexico St.,Aggies,0.34593,0.75272,0.5061,64.783,109.75036,99.0223,0.31228,0.15653,0.17536,0.07736,0.07186
27693,103539,Utah Tech,Trailblazers ,0.25316,0.68702,0.62451,72.869,95.47463,104.75416,0.348,0.18445,0.17155,0.09311,0.05257
27693,104391,Utah Valley,Wolverines,0.31746,0.75709,0.625,70.583,104.50441,104.69651,0.42215,0.18213,0.14021,0.07371,0.11649
27693,103407,California Baptist,Lancers,0.29342,0.7438,0.63565,69.783,112.78263,103.73523,0.34232,0.16837,0.14896,0.07166,0.06278
27693,104209,Seattle U,Redhawks,0.27231,0.69961,0.44519,68.831,105.35758,99.1379,0.29173,0.13261,0.19635,0.0951,0.09901
27693,103659,Grand Canyon,Lopes,0.33842,0.76804,0.57692,66.657,113.26646,93.20104,0.31358,0.16357,0.15375,0.07294,0.09102
33533,103985,New Mexico St.,Aggies,0.28975,0.74907,0.46117,69.962,105.35545,102.43718,0.3359,0.15707,0.17417,0.10464,0.07324
27249,104209,Seattle U,Redhawks,0.3432,0.71265,0.47882,74.082,102.76338,100.7728,0.25335,0.17209,0.17691,0.11281,0.08806
30629,103791,Lamar University,Cardinals,0.30414,0.689,0.48343,66.323,92.44202,110.01536,0.26163,0.18682,0.15529,0.08816,0.09139
27168,104202,San Jose St.,Spartans,0.33659,0.68091,0.50397,66.505,93.03246,103.20304,0.36249,0.172,0.16482,0.09042,0.08488
27043,104366,Kansas City,Roos,0.26388,0.68719,0.47874,70.134,99.09604,109.07694,0.42722,0.16453,0.17196,0.10346,0.06381
27043,103659,Grand Canyon,Lopes,0.28428,0.71415,0.57526,66.372,108.17927,107.62912,0.53648,0.16597,0.13008,0.06039,0.06672
27168,103716,Idaho,Vandals,0.33145,0.71526,0.55105,62.181,108.9853,110.52704,0.37598,0.18452,0.12324,0.06524,0.07699
33533,103260,Abilene Christian,Wildcats,0.28558,0.73481,0.58005,69.593,106.83139,101.32119,0.31833,0.1559,0.22474,0.12547,0.07037
27043,104209,Seattle U,Redhawks,0.38169,0.70058,0.51842,66.82,105.38718,104.40179,0.33871,0.16861,0.16574,0.09493,0.08489
