isOffense,competitionId,teamId,teamMarket,teamName,pfPct,freqChncTr,atr2FgPct,atr2FgaFreq,paint2FgPct,paint2FgaFreq,mid2FgPct,mid2FgaFreq,lane2FgaFreq,lane2FgPct,fga3Rate,fg3Pct
False,30629,104405,Virginia,Cavaliers,0.2412,0.115,0.6169,0.3203,0.3518,0.1667,0.311,0.1379,0.487,0.5262,0.37514,0.33575
True,38409,103899,Miami (FL),Hurricanes,0.2151,0.1616,0.67,0.2704,0.4787,0.1774,0.4337,0.1671,0.4478,0.5942,0.38507,0.3132
False,38409,103899,Miami (FL),Hurricanes,0.2151,0.1349,0.686,0.3105,0.4532,0.1863,0.3717,0.104,0.4967,0.5987,0.39924,0.397
False,38409,104407,Virginia Tech,Hokies,0.2286,0.1375,0.6415,0.3203,0.4403,0.161,0.4205,0.1071,0.4813,0.5742,0.41154,0.32577
True,38409,104407,Virginia Tech,Hokies,0.2601,0.098,0.656,0.2812,0.388,0.1783,0.3388,0.1361,0.4595,0.552,0.40439,0.35049
True,30629,103616,Florida St.,Seminoles,0.2407,0.1687,0.6652,0.2416,0.4579,0.2383,0.2857,0.1786,0.4799,0.5622,0.34148,0.33068
False,30629,103616,Florida St.,Seminoles,0.2355,0.1503,0.6407,0.247,0.4297,0.2171,0.325,0.1131,0.4641,0.542,0.42284,0.36898
True,38409,104413,Wake Forest,Demon Deacons,0.2486,0.1335,0.6473,0.2896,0.4497,0.2233,0.4083,0.1347,0.5129,0.5613,0.35241,0.28503
False,38409,104413,Wake Forest,Demon Deacons,0.2722,0.156,0.605,0.2621,0.3533,0.1635,0.385,0.1161,0.4256,0.5083,0.45831,0.30678
True,36046,104026,Notre Dame,Fighting Irish,0.2343,0.1008,0.5658,0.2664,0.4073,0.1804,0.3744,0.1201,0.4468,0.5018,0.43311,0.31772
False,36046,104026,Notre Dame,Fighting Irish,0.2281,0.1414,0.603,0.277,0.4073,0.1864,0.3529,0.1691,0.4634,0.5243,0.36754,0.32479
True,33533,103616,Florida St.,Seminoles,0.2409,0.1792,0.6901,0.2245,0.4501,0.2342,0.3149,0.1967,0.4587,0.5675,0.34457,0.32965
False,33533,103616,Florida St.,Seminoles,0.24,0.1223,0.6687,0.2566,0.4339,0.2131,0.2946,0.119,0.4697,0.5622,0.41126,0.37597
True,33533,104303,Syracuse,Orange,0.1976,0.1641,0.644,0.3117,0.4125,0.2124,0.3725,0.1853,0.5242,0.5502,0.29049,0.36197
False,33533,104303,Syracuse,Orange,0.2425,0.1534,0.6351,0.25,0.4261,0.1739,0.3243,0.0932,0.4239,0.5493,0.48286,0.34342
True,36046,103647,Georgia Tech,Yellow Jackets,0.2433,0.1497,0.6165,0.2588,0.3952,0.1933,0.3723,0.1424,0.4522,0.5218,0.40541,0.32564
False,36046,103647,Georgia Tech,Yellow Jackets,0.2401,0.1398,0.6225,0.2788,0.4121,0.1756,0.3545,0.1513,0.4545,0.5412,0.39423,0.32606
True,38409,104026,Notre Dame,Fighting Irish,0.2387,0.106,0.6429,0.2742,0.41,0.2234,0.39,0.1276,0.4976,0.5383,0.3748,0.35452
False,38409,104026,Notre Dame,Fighting Irish,0.2544,0.134,0.707,0.2559,0.4431,0.1799,0.3651,0.1594,0.4358,0.5981,0.40482,0.32124
False,41097,104303,Syracuse,Orange,0.2666,0.1543,0.671,0.2792,0.3935,0.2719,0.2775,0.0903,0.5511,0.5341,0.35856,0.34061
True,41097,104303,Syracuse,Orange,0.2422,0.1782,0.7092,0.2676,0.4447,0.2601,0.3704,0.1007,0.5277,0.5788,0.37154,0.32855
True,30629,103966,NC State,Wolfpack,0.2425,0.1696,0.622,0.2729,0.3562,0.1968,0.2826,0.1382,0.4697,0.5107,0.39209,0.341
False,30629,103966,NC State,Wolfpack,0.2471,0.1522,0.6718,0.3113,0.4447,0.231,0.3237,0.1102,0.5423,0.5751,0.34753,0.35835
True,41097,103647,Georgia Tech,Yellow Jackets,0.2561,0.1545,0.6058,0.3526,0.4082,0.1709,0.291,0.1449,0.5235,0.5413,0.33153,0.35073
False,41097,103647,Georgia Tech,Yellow Jackets,0.2423,0.1627,0.6146,0.2916,0.4,0.1502,0.3439,0.1144,0.4417,0.5416,0.44381,0.33139
False,41097,104407,Virginia Tech,Hokies,0.2642,0.1179,0.6136,0.3482,0.4542,0.1572,0.4219,0.0986,0.5054,0.564,0.39599,0.3061
True,41097,104407,Virginia Tech,Hokies,0.2514,0.1406,0.638,0.3227,0.4169,0.158,0.3193,0.1225,0.4807,0.5653,0.39681,0.35538
True,30629,103647,Georgia Tech,Yellow Jackets,0.2632,0.1884,0.6147,0.2921,0.4282,0.209,0.3275,0.1522,0.5011,0.5369,0.34673,0.3524
False,30629,103647,Georgia Tech,Yellow Jackets,0.2134,0.1656,0.6248,0.3227,0.4309,0.1643,0.3333,0.1249,0.487,0.5594,0.38811,0.31476
False,41097,104290,Stanford,Cardinal,0.2736,0.1393,0.6221,0.3089,0.441,0.2472,0.397,0.1096,0.5562,0.5416,0.33425,0.32949
True,41097,104290,Stanford,Cardinal,0.2654,0.1478,0.567,0.2991,0.449,0.2014,0.3793,0.0596,0.5005,0.5195,0.43988,0.35164
False,33533,103647,Georgia Tech,Yellow Jackets,0.2279,0.1422,0.6486,0.3222,0.4456,0.1987,0.2915,0.1271,0.5208,0.5711,0.35203,0.30117
True,33533,103647,Georgia Tech,Yellow Jackets,0.2389,0.1663,0.6332,0.2566,0.3904,0.2169,0.3345,0.1436,0.4735,0.522,0.38286,0.33506
True,38409,103616,Florida St.,Seminoles,0.2773,0.1919,0.6456,0.3101,0.4541,0.2073,0.3619,0.1458,0.5174,0.5689,0.33678,0.31664
False,38409,103616,Florida St.,Seminoles,0.2759,0.1477,0.604,0.294,0.4029,0.1824,0.3141,0.1025,0.4764,0.527,0.42114,0.31975
False,36046,103899,Miami (FL),Hurricanes,0.2171,0.1294,0.6627,0.2523,0.4173,0.1847,0.3495,0.1031,0.4369,0.559,0.45996,0.33297
True,36046,103899,Miami (FL),Hurricanes,0.1899,0.1773,0.6759,0.2582,0.4305,0.1872,0.3492,0.1505,0.4454,0.5727,0.40408,0.36111
False,41097,103996,North Carolina,Tar Heels,0.2694,0.1246,0.6011,0.2609,0.397,0.2211,0.3117,0.1477,0.482,0.5075,0.37026,0.34715
True,41097,103996,North Carolina,Tar Heels,0.2174,0.1781,0.7009,0.2977,0.4167,0.1832,0.4263,0.0967,0.4809,0.5926,0.42239,0.34217
False,33533,104407,Virginia Tech,Hokies,0.2368,0.1202,0.6339,0.28,0.3986,0.212,0.4158,0.1515,0.492,0.5325,0.3565,0.33941
True,33533,104407,Virginia Tech,Hokies,0.235,0.1077,0.6378,0.3147,0.4652,0.1886,0.392,0.1004,0.5033,0.5731,0.39637,0.35751
True,30629,104407,Virginia Tech,Hokies,0.2376,0.0859,0.6359,0.2953,0.4323,0.1752,0.3915,0.1186,0.4705,0.5601,0.4109,0.39189
False,30629,104407,Virginia Tech,Hokies,0.2376,0.1342,0.6232,0.2897,0.3951,0.1899,0.3652,0.1516,0.4796,0.5329,0.36886,0.32258
True,30629,104303,Syracuse,Orange,0.2081,0.1477,0.6452,0.2597,0.3671,0.204,0.4198,0.1444,0.4638,0.5228,0.39182,0.37736
False,30629,104303,Syracuse,Orange,0.2139,0.1562,0.6715,0.2631,0.3619,0.1512,0.3398,0.0989,0.4143,0.5585,0.4868,0.33037
False,38409,103405,California,Golden Bears,0.2811,0.1417,0.6084,0.3296,0.4344,0.1763,0.4074,0.1666,0.5059,0.5478,0.32751,0.37677
True,38409,103405,California,Golden Bears,0.2408,0.1386,0.5913,0.3312,0.4086,0.1748,0.279,0.1164,0.506,0.5281,0.37762,0.31481
True,36046,104407,Virginia Tech,Hokies,0.2384,0.1259,0.6796,0.2982,0.4505,0.1748,0.3491,0.1113,0.473,0.5949,0.41575,0.34848
False,36046,104407,Virginia Tech,Hokies,0.253,0.1311,0.6342,0.3222,0.4557,0.2033,0.2992,0.1359,0.5255,0.5651,0.33865,0.33891
False,36046,104303,Syracuse,Orange,0.226,0.1872,0.6837,0.2994,0.4343,0.2286,0.2667,0.0993,0.528,0.5757,0.37271,0.34153
True,36046,104303,Syracuse,Orange,0.2176,0.1689,0.6847,0.3097,0.4046,0.2026,0.3569,0.1478,0.5123,0.5739,0.33995,0.33641
False,38409,104303,Syracuse,Orange,0.2505,0.1757,0.6647,0.2603,0.4519,0.2412,0.4206,0.1176,0.5015,0.5624,0.38093,0.3457
True,38409,104303,Syracuse,Orange,0.2382,0.141,0.6512,0.2862,0.4523,0.2454,0.3682,0.141,0.5316,0.5594,0.32739,0.32815
True,33533,103996,North Carolina,Tar Heels,0.243,0.1622,0.649,0.2839,0.3867,0.1813,0.3912,0.1587,0.4652,0.5468,0.37606,0.31158
False,33533,103996,North Carolina,Tar Heels,0.2701,0.1447,0.6201,0.291,0.3803,0.2216,0.3828,0.1671,0.5126,0.5164,0.32028,0.32972
False,33533,104413,Wake Forest,Demon Deacons,0.2585,0.1485,0.6706,0.2548,0.4218,0.1894,0.368,0.1693,0.4442,0.5645,0.38643,0.3498
True,33533,104413,Wake Forest,Demon Deacons,0.2309,0.148,0.7168,0.2682,0.3789,0.1991,0.3467,0.0786,0.4673,0.5729,0.45416,0.36332
False,38409,104290,Stanford,Cardinal,0.2457,0.135,0.6206,0.2751,0.4568,0.2262,0.3822,0.1614,0.5013,0.5467,0.33728,0.33384
True,38409,104290,Stanford,Cardinal,0.2614,0.109,0.6248,0.2433,0.4619,0.185,0.3553,0.1544,0.4284,0.5544,0.41719,0.34226
True,30629,104026,Notre Dame,Fighting Irish,0.1942,0.1107,0.6547,0.2833,0.4034,0.1809,0.3812,0.113,0.4643,0.5568,0.42271,0.38129
False,30629,104026,Notre Dame,Fighting Irish,0.229,0.1361,0.6498,0.2372,0.4143,0.2213,0.3807,0.1892,0.4585,0.5361,0.35238,0.32153
False,41097,103616,Florida St.,Seminoles,0.2544,0.1537,0.641,0.2834,0.4138,0.1583,0.3846,0.1097,0.4417,0.5596,0.44864,0.34624
True,41097,103616,Florida St.,Seminoles,0.26,0.1973,0.6631,0.2766,0.4131,0.1712,0.3895,0.0463,0.4478,0.5675,0.50585,0.33076
True,41097,103405,California,Golden Bears,0.2709,0.1425,0.5946,0.3128,0.3953,0.1268,0.3969,0.1313,0.4396,0.5371,0.42907,0.36682
False,41097,103405,California,Golden Bears,0.2644,0.1381,0.6022,0.3692,0.4201,0.1335,0.3333,0.0878,0.5027,0.5538,0.40943,0.31273
False,38409,103647,Georgia Tech,Yellow Jackets,0.2385,0.1574,0.5852,0.305,0.3594,0.1659,0.3254,0.1212,0.4709,0.5056,0.40789,0.35142
True,38409,103647,Georgia Tech,Yellow Jackets,0.2307,0.144,0.6216,0.3218,0.3955,0.1756,0.3236,0.1345,0.4973,0.5418,0.36822,0.34263
False,33533,103966,NC State,Wolfpack,0.2284,0.1536,0.6393,0.3086,0.4322,0.2253,0.3373,0.1305,0.5339,0.5519,0.33558,0.31636
True,33533,103966,NC State,Wolfpack,0.2532,0.1842,0.6204,0.2476,0.4667,0.227,0.4018,0.1541,0.4746,0.5469,0.37139,0.34691
False,36046,103616,Florida St.,Seminoles,0.2633,0.1847,0.6349,0.2881,0.4351,0.2199,0.3654,0.1099,0.5079,0.5484,0.38214,0.35408
True,36046,103616,Florida St.,Seminoles,0.2783,0.1928,0.6515,0.2747,0.4609,0.2371,0.3721,0.1724,0.5118,0.5632,0.31579,0.31746
True,41097,103966,NC State,Wolfpack,0.2654,0.1503,0.6989,0.2605,0.3945,0.2295,0.3269,0.0755,0.4901,0.5563,0.43438,0.38796
False,41097,103966,NC State,Wolfpack,0.2462,0.1635,0.6642,0.2728,0.3893,0.1989,0.3694,0.0795,0.4717,0.5483,0.44889,0.35513
True,36046,104413,Wake Forest,Demon Deacons,0.2285,0.15,0.6923,0.2419,0.4729,0.262,0.3815,0.1219,0.5039,0.5782,0.37414,0.36387
False,36046,104413,Wake Forest,Demon Deacons,0.2592,0.1246,0.6568,0.2152,0.4319,0.2333,0.3722,0.1971,0.4484,0.5398,0.35452,0.33103
True,41097,103899,Miami (FL),Hurricanes,0.2282,0.1781,0.6841,0.3653,0.4483,0.2308,0.3855,0.0854,0.5961,0.5928,0.31855,0.3488
False,41097,103899,Miami (FL),Hurricanes,0.2632,0.1394,0.6395,0.2634,0.4181,0.1984,0.3591,0.1294,0.4618,0.5444,0.4088,0.35819
True,41097,104405,Virginia,Cavaliers,0.263,0.1638,0.6261,0.3274,0.4343,0.1499,0.4016,0.0559,0.4773,0.5658,0.46676,0.36248
False,41097,104405,Virginia,Cavaliers,0.2634,0.1348,0.5533,0.2779,0.3624,0.2102,0.3627,0.1335,0.488,0.4711,0.37847,0.31553
True,41097,104413,Wake Forest,Demon Deacons,0.2717,0.1613,0.666,0.2593,0.4591,0.2001,0.3761,0.1049,0.4594,0.5759,0.43579,0.34106
False,41097,104413,Wake Forest,Demon Deacons,0.265,0.1411,0.6672,0.2772,0.4197,0.1714,0.3636,0.085,0.4486,0.5727,0.46644,0.32919
False,30629,103899,Miami (FL),Hurricanes,0.2302,0.1365,0.6366,0.3326,0.4537,0.1569,0.3396,0.1241,0.4895,0.578,0.38642,0.34545
True,30629,103899,Miami (FL),Hurricanes,0.2222,0.1561,0.6727,0.3104,0.4758,0.1742,0.3819,0.1606,0.4846,0.6019,0.35487,0.33905
False,30629,104413,Wake Forest,Demon Deacons,0.2544,0.1478,0.6081,0.267,0.3625,0.2201,0.3613,0.1455,0.4871,0.4971,0.36743,0.32184
True,30629,104413,Wake Forest,Demon Deacons,0.2254,0.162,0.7164,0.2942,0.4604,0.193,0.419,0.0884,0.4872,0.615,0.42448,0.34419
False,33533,103899,Miami (FL),Hurricanes,0.2255,0.1267,0.6284,0.3184,0.4304,0.1752,0.3582,0.121,0.4937,0.5581,0.38528,0.33411
