key,tables,isKeeper,label1,label2,label3,label4,shortDesc,sign,unit,tipTitle,mainTip,teamTip,playerTip,isLabeled
orbChncP100,other,TRUE,CHNC,ORB CHNC/100,ORB Chances / 100 Poss,ORB Chances / 100 Poss,NA,pos,num,Offensive Rebounding Chances / 100 Poss,NA,Total number of offensive rebounds plus opponent defensive rebounds per 100 possessions.,NA,TRUE
orbChncP40,other,TRUE,CHNC,ORB CHNC/40,ORB Chances / 40 Mins,ORB Chances / 40 Mins,NA,pos,num,Offensive Rebounding Chances / 40 Mins,NA,Total number of offensive rebounds plus opponent defensive rebounds per 40 minutes.,NA,TRUE
orbChncPg,other,TRUE,CHNC,ORB CHNC/G,ORB Chances / Game,ORB Chances / Game,NA,pos,num,Offensive Rebounding Chances / Game,NA,Total number of offensive rebounds plus opponent defensive rebounds per game.,NA,TRUE
orbPctAway,other,TRUE,ORB%,ORB% AWAY,Off Rebound Pct,Offensive Rebound Percentage,NA,pos,pct,Offensive Rebounding Percentage,NA,Percentage of the team's missed shot that were offensive rebounded.,An estimate of the percentage of available offensive rebounds a player grabbed while he was on the floor.,TRUE
ortgAway,other,TRUE,ORtg,ORtg AWAY,Offensive Rating,Offensive Rating,NA,pos,num,Offensive Rating,NA,Points scored per 100 possessions by the team.,NA,TRUE
paint2,other,TRUE,PAINT2,PAINT2,In The Paint,In The Paint,NA,NA,NA,In The Paint,Shooting stats on all shots taken in the paint but outside the restricted area,NA,NA,TRUE
pctAst,other,TRUE,%AST,%AST,Pct of Assists,Pct of Assists,NA,pos,pct,Percentage of Total Assists,The percentage of total assists that were assists in this zone.,NA,NA,TRUE
ppc,other,TRUE,PPC,PPC,Points Per Chance,Points Per Chance,NA,pos,num2,Points Per Chance,The number of points scored per chance.,NA,NA,TRUE
ppp,other,TRUE,PPP,PPP,Points Per Possession,Points Per Possession,NA,pos,num2,Points Per Possession,The number of points scored per possession.,NA,NA,TRUE
pppc,other,TRUE,PPPC,PPPC,Points Per Possession / Chance,Points Per Possession / Chance,NA,pos,num2,Points Per Possession / Chance,The number of points scored per possession (or chance).,NA,NA,TRUE
pValue,other,TRUE,Pr(>|t|),Pr(>|t|),NA,NA,NA,pos,num3,P-Value,"The p-value for each variable tests the null hypothesis that the variable has no predictive influence on the output (offensive / defensive rating). The smaller the p-value, the greater the evidence against the null hypothesis (the more likely the metric is predictive). P-values of 0.05 or 0.01 are commonly used to assess if a variable is statistically significant and predctive of the output.",NA,NA,TRUE
qualifierFreq,other,TRUE,FREQ,FREQ,Frequency,Frequency,NA,pos,pct,Type Frequency,The percentage of possessions or chances that fall into this start type or length.,NA,NA,TRUE
rb2,other,TRUE,RB2,RB2,Right Baseline 2s,Right Baseline 2s,NA,NA,NA,Right Baseline 2s,Shooting stats on shots taken from the right baseline,NA,NA,TRUE
rc3,other,TRUE,RC3,RC3,Right Corner 3s,Right Corner 3s,NA,NA,NA,Right Corner 3s,Shooting stats on right corner 3s,NA,NA,TRUE
re2,other,TRUE,RE2,RE2,Right Elbow 2s,Right Elbow 2s,NA,NA,NA,Right Elbow 2s,Shooting stats on shots taken from the right elbow,NA,NA,TRUE
rw3,other,TRUE,RW3,RW3,Right Wing 3s,Right Wing 3s,NA,NA,NA,Right Wing 3s,Shooting stats on right wing 3s,NA,NA,TRUE
sht2,other,TRUE,SHT2,SHT2,Short Range 2s,Short Range 2s,NA,NA,NA,Short Range 2s,Shooting stats on shots between 4 - 10 feet,NA,NA,TRUE
sht3,other,TRUE,SHT3,SHT3,Short Range 3s,Short Range 3s,NA,NA,NA,Short Range 3s,Shooting stats on 3P shots under 25 feet,NA,NA,TRUE
slp2,other,TRUE,SLP2,SLP2,Short Left Paint 2,Short Left Paint 2,NA,NA,NA,Short Left Paint 2,"Shooting stats on shots in the closer, left corner of the paint (left side, close to hoop)",NA,NA,TRUE
